,ETHUN
1302,1.0
1303,-9.0
1304,-9.0
1305,1.0
1306,1.0
1307,2.0
1308,2.0
1309,2.0
1310,2.0
1311,2.0
1312,2.0
1313,2.0
1314,2.0
1315,2.0
1316,2.0
1317,2.0
1318,2.0
1319,2.0
1320,2.0
1321,2.0
1322,2.0
1323,2.0
1324,2.0
1325,1.0
1326,2.0
1327,2.0
1328,2.0
1329,2.0
1330,2.0
1331,2.0
1332,1.0
1333,2.0
1334,2.0
1335,2.0
1336,2.0
1337,2.0
1338,2.0
1339,2.0
1340,2.0
1341,2.0
1342,2.0
1343,2.0
1344,2.0
1345,2.0
1346,2.0
1347,2.0
1348,2.0
1349,2.0
1350,2.0
1351,2.0
1352,2.0
1353,2.0
1354,2.0
1355,2.0
1356,2.0
1357,2.0
1358,2.0
1359,2.0
1360,2.0
1361,2.0
1362,2.0
1363,2.0
1364,2.0
1365,2.0
1366,2.0
1367,1.0
1368,2.0
1369,2.0
1370,1.0
1371,2.0
1372,1.0
1373,1.0
1374,1.0
1375,1.0
1376,2.0
1377,2.0
1378,2.0
1379,2.0
1380,2.0
1381,1.0
1382,2.0
1383,2.0
1384,2.0
1385,2.0
1386,2.0
1387,2.0
1388,1.0
1389,2.0
1390,2.0
1391,2.0
1392,2.0
1393,2.0
1394,2.0
1395,2.0
1396,2.0
1397,1.0
1398,2.0
1399,2.0
1400,2.0
1401,1.0
1402,2.0
1403,2.0
1404,2.0
1405,2.0
1406,2.0
1407,2.0
1408,2.0
1409,2.0
1410,2.0
1411,-9.0
1412,-9.0
1413,1.0
1414,-9.0
1415,-9.0
1416,-9.0
1417,-9.0
1418,-9.0
1419,2.0
1420,-9.0
1421,2.0
1422,2.0
1423,2.0
1424,2.0
1425,2.0
1426,2.0
1427,2.0
1428,2.0
1429,2.0
1430,2.0
1431,2.0
1432,2.0
1433,2.0
1434,2.0
1435,2.0
1436,2.0
1437,2.0
1438,2.0
1439,2.0
1440,2.0
1441,2.0
1442,2.0
1443,2.0
1444,2.0
1445,2.0
1446,2.0
1447,2.0
1448,2.0
1449,2.0
1450,2.0
1451,2.0
1452,2.0
1453,2.0
1454,2.0
1455,2.0
1456,2.0
1457,2.0
1458,2.0
1459,2.0
1460,2.0
1461,2.0
1462,1.0
1463,2.0
1464,2.0
1465,2.0
1466,2.0
1467,2.0
1468,2.0
1469,2.0
1470,2.0
1471,2.0
1472,2.0
1473,2.0
1474,2.0
1475,2.0
1476,2.0
1477,2.0
1478,2.0
1479,2.0
1480,2.0
1481,2.0
1482,2.0
1483,2.0
1484,2.0
1485,2.0
1486,2.0
1487,2.0
1488,2.0
1489,2.0
1490,2.0
1491,2.0
1492,2.0
1493,2.0
1494,2.0
1495,2.0
1496,1.0
1497,2.0
1498,2.0
1499,2.0
1500,2.0
1501,2.0
1502,2.0
1503,2.0
1504,2.0
1505,2.0
1506,1.0
1507,2.0
1508,-9.0
1509,2.0
1510,1.0
1511,2.0
1512,2.0
1513,2.0
1514,2.0
1515,2.0
1516,2.0
1517,2.0
1518,2.0
1519,2.0
1520,2.0
1521,2.0
1522,2.0
1523,2.0
1524,2.0
1525,2.0
1526,2.0
1527,2.0
1528,2.0
1529,2.0
1530,-9.0
1531,-9.0
1532,-9.0
1533,-9.0
1534,2.0
1535,-9.0
1536,1.0
1537,2.0
1538,2.0
1539,2.0
1540,2.0
1541,1.0
1542,1.0
1543,1.0
1544,1.0
1545,1.0
1546,1.0
1547,1.0
1548,1.0
1549,2.0
1550,2.0
1551,2.0
1552,2.0
1553,2.0
1554,2.0
1555,1.0
1556,2.0
1557,2.0
1558,2.0
1559,1.0
1560,1.0
1561,2.0
1562,1.0
1563,1.0
1564,2.0
1565,2.0
1566,2.0
1567,1.0
1568,1.0
1569,2.0
1570,2.0
1571,2.0
1572,1.0
1573,2.0
1574,2.0
1575,2.0
1576,1.0
1577,1.0
1578,2.0
1579,1.0
1580,2.0
1581,2.0
1582,2.0
1583,2.0
1584,1.0
1585,2.0
1586,2.0
1587,2.0
1588,2.0
1589,2.0
1590,2.0
1591,1.0
1592,2.0
1593,2.0
1594,2.0
1595,2.0
1596,1.0
1597,1.0
1598,2.0
1599,2.0
1600,1.0
1601,2.0
1602,1.0
1603,2.0
1604,1.0
1605,2.0
1606,2.0
1607,1.0
1608,2.0
1609,2.0
1610,2.0
1611,1.0
1612,1.0
1613,-9.0
1614,1.0
1615,-9.0
1616,-9.0
1617,-9.0
1618,-9.0
1619,-9.0
1620,-9.0
1621,-9.0
1622,-9.0
1623,-9.0
1624,-9.0
1625,2.0
1626,-9.0
1627,-9.0
1628,-9.0
1629,-9.0
1630,-9.0
1631,-9.0
1632,-9.0
1633,-9.0
1634,-9.0
1635,-9.0
1636,-9.0
1637,-9.0
1638,-9.0
1639,2.0
1640,-9.0
1641,-9.0
1642,-9.0
1643,-9.0
1644,-9.0
1645,1.0
1646,-9.0
1647,-9.0
1648,-9.0
1649,2.0
1650,-9.0
1651,-9.0
1652,-9.0
1653,-9.0
1654,-9.0
1655,-9.0
1656,-9.0
1657,-9.0
1658,1.0
1659,-9.0
1660,-9.0
1661,-9.0
1662,1.0
1663,-9.0
1664,-9.0
1665,1.0
1666,-9.0
1667,-9.0
1668,1.0
1669,-9.0
1670,-9.0
1671,-9.0
1672,-9.0
1673,-9.0
1674,-9.0
1675,-9.0
1676,-9.0
1677,-9.0
1678,-9.0
1679,-9.0
1680,-9.0
1681,-9.0
1682,-9.0
1683,-9.0
1684,-9.0
1685,-9.0
1686,-9.0
1687,-9.0
1688,-9.0
1689,-9.0
1690,-9.0
1691,-9.0
1692,-9.0
1693,-9.0
1694,-9.0
1695,-9.0
1696,-9.0
1697,-9.0
1698,-9.0
1699,-9.0
1700,-9.0
1701,-9.0
1702,-9.0
1703,-9.0
1704,-9.0
1705,-9.0
1706,1.0
1707,-9.0
1708,-9.0
1709,-9.0
1710,-9.0
1711,-9.0
1712,-9.0
1713,-9.0
1714,-9.0
1715,-9.0
1716,-9.0
1717,-9.0
1718,-9.0
1719,-9.0
1720,-9.0
1721,-9.0
1722,-9.0
1723,-9.0
1724,-9.0
1725,-9.0
1726,-9.0
1727,-9.0
1728,-9.0
1729,-9.0
1730,-9.0
1731,-9.0
1732,-9.0
1733,-9.0
1734,-9.0
1735,-9.0
1736,-9.0
1737,-9.0
1738,-9.0
1739,-9.0
1740,-9.0
1741,-9.0
1742,-9.0
1743,-9.0
1744,-9.0
1745,-9.0
1746,-9.0
1747,-9.0
1748,-9.0
1749,-9.0
1750,-9.0
1751,-9.0
1752,-9.0
1753,-9.0
1754,-9.0
1755,-9.0
1756,-9.0
1757,-9.0
1758,-9.0
1759,-9.0
1760,-9.0
1761,-9.0
1762,-9.0
1763,-9.0
1764,-9.0
1765,-9.0
1766,-9.0
1767,-9.0
1768,-9.0
1769,-9.0
1770,-9.0
1771,-9.0
1772,-9.0
1773,-9.0
1774,-9.0
1775,-9.0
1776,-9.0
1777,-9.0
1778,-9.0
1779,-9.0
1780,-9.0
1781,-9.0
1782,-9.0
1783,-9.0
1784,-9.0
1785,-9.0
1786,-9.0
1787,-9.0
1788,-9.0
1789,-9.0
1790,-9.0
1791,-9.0
1792,-9.0
1793,-9.0
1794,-9.0
1795,-9.0
1796,-9.0
1797,-9.0
1798,-9.0
1799,-9.0
1800,-9.0
1801,-9.0
1802,-9.0
1803,-9.0
1804,-9.0
1805,-9.0
1806,-9.0
1807,-9.0
1808,-9.0
1809,-9.0
1810,-9.0
1811,-9.0
1812,-9.0
1813,-9.0
1814,-9.0
1815,-9.0
1816,-9.0
1817,-9.0
1818,-9.0
1819,-9.0
1820,-9.0
1821,-9.0
1822,-9.0
1823,-9.0
1824,-9.0
1825,-9.0
1826,-9.0
1827,-9.0
1828,-9.0
1829,-9.0
1830,-9.0
1831,-9.0
1832,-9.0
1833,-9.0
1834,-9.0
1835,-9.0
1836,-9.0
1837,-9.0
1838,-9.0
1839,-9.0
1840,-9.0
1841,-9.0
1842,-9.0
1843,-9.0
1844,-9.0
1845,-9.0
1846,-9.0
1847,-9.0
1848,-9.0
1849,-9.0
1850,-9.0
1851,-9.0
1852,-9.0
1853,-9.0
1854,2.0
1855,-9.0
1856,-9.0
1857,-9.0
1858,-9.0
1859,-9.0
1860,-9.0
1861,-9.0
1862,-9.0
1863,-9.0
1864,-9.0
1865,-9.0
1866,-9.0
1867,-9.0
1868,-9.0
1869,-9.0
1870,-9.0
1871,2.0
1872,2.0
1873,2.0
1874,2.0
1875,1.0
1876,2.0
1877,2.0
1878,2.0
1879,1.0
1880,2.0
1881,2.0
1882,1.0
1883,1.0
1884,1.0
1885,1.0
1886,2.0
1887,2.0
1888,2.0
1889,2.0
1890,2.0
1891,2.0
1892,2.0
1893,2.0
1894,2.0
1895,2.0
1896,2.0
1897,2.0
1898,2.0
1899,2.0
1900,2.0
1901,2.0
1902,2.0
1903,2.0
1904,2.0
1905,2.0
1906,2.0
1907,2.0
1908,2.0
1909,2.0
1910,2.0
1911,2.0
1912,2.0
1913,2.0
1914,2.0
1915,2.0
1916,2.0
1917,2.0
1918,2.0
1919,2.0
1920,2.0
1921,2.0
1922,2.0
1923,2.0
1924,2.0
1925,2.0
1926,2.0
1927,2.0
1928,2.0
1929,2.0
1930,2.0
1931,2.0
1932,2.0
1933,-9.0
1934,-9.0
1935,2.0
1936,2.0
1937,2.0
1938,2.0
1939,2.0
1940,2.0
1941,2.0
1942,1.0
1943,-9.0
1944,-9.0
1945,2.0
1946,1.0
1947,2.0
1948,2.0
1949,2.0
1950,2.0
1951,2.0
1952,2.0
1953,2.0
1954,2.0
1955,2.0
1956,2.0
1957,2.0
1958,2.0
1959,2.0
1960,2.0
1961,2.0
1962,1.0
1963,2.0
1964,2.0
1965,2.0
1966,2.0
1967,2.0
1968,1.0
1969,2.0
1970,2.0
1971,2.0
1972,2.0
1973,2.0
1974,2.0
1975,2.0
1976,2.0
1977,2.0
1978,2.0
1979,2.0
1980,2.0
1981,2.0
1982,2.0
1983,2.0
1984,2.0
1985,2.0
1986,2.0
1987,2.0
1988,2.0
1989,2.0
1990,2.0
1991,2.0
1992,2.0
1993,2.0
1994,2.0
1995,2.0
1996,2.0
1997,2.0
1998,2.0
1999,2.0
2000,-9.0
2001,2.0
2002,1.0
2003,-9.0
2004,1.0
2005,-9.0
2006,-9.0
2007,-9.0
2008,-9.0
2009,2.0
2010,-9.0
2011,-9.0
2012,-9.0
2013,-9.0
2014,-9.0
2015,2.0
2016,-9.0
2017,-9.0
2018,-9.0
2019,-9.0
2020,-9.0
2021,-9.0
2022,-9.0
2023,-9.0
2024,-9.0
2025,-9.0
2026,-9.0
2027,1.0
2028,-9.0
2029,-9.0
2030,-9.0
2031,-9.0
2032,-9.0
2033,-9.0
2034,-9.0
2035,-9.0
2036,-9.0
2037,-9.0
2038,-9.0
2039,-9.0
2040,-9.0
2041,-9.0
2042,-9.0
2043,-9.0
2044,-9.0
2045,1.0
2046,-9.0
2047,-9.0
2048,2.0
2049,-9.0
2050,-9.0
