,PATCODE
5213,57.0
5214,58.0
5215,59.0
5216,60.0
5217,61.0
5218,62.0
5219,63.0
5220,64.0
5221,65.0
5222,66.0
5223,67.0
5224,68.0
5225,69.0
5226,70.0
5227,71.0
5228,72.0
5229,73.0
5230,74.0
5231,75.0
5232,76.0
5233,77.0
5234,78.0
5235,79.0
5236,80.0
5237,81.0
5238,82.0
5239,83.0
5240,84.0
5241,85.0
5242,86.0
5243,87.0
5244,88.0
5245,89.0
5246,90.0
5247,91.0
5248,92.0
5249,93.0
5250,94.0
5251,1.0
5252,2.0
5253,3.0
5254,4.0
5255,5.0
5256,6.0
5257,7.0
5258,8.0
5259,9.0
5260,10.0
5261,11.0
5262,12.0
5263,13.0
5264,14.0
5265,15.0
5266,16.0
5267,17.0
5268,18.0
5269,19.0
5270,20.0
5271,21.0
5272,22.0
5273,23.0
5274,24.0
5275,25.0
5276,26.0
5277,27.0
5278,28.0
5279,29.0
5280,30.0
5281,31.0
5282,32.0
5283,33.0
5284,34.0
5285,35.0
5286,36.0
5287,37.0
5288,38.0
5289,39.0
5290,40.0
5291,41.0
5292,42.0
5293,43.0
5294,44.0
5295,45.0
5296,46.0
5297,47.0
5298,48.0
5299,49.0
5300,50.0
5301,51.0
5302,52.0
5303,53.0
5304,54.0
5305,55.0
5306,56.0
5307,57.0
5308,58.0
5309,59.0
5310,60.0
5311,61.0
5312,62.0
5313,63.0
5314,64.0
5315,65.0
5316,66.0
5317,67.0
5318,68.0
5319,69.0
5320,70.0
5321,71.0
5322,72.0
5323,73.0
5324,74.0
5325,75.0
5326,76.0
5327,77.0
5328,78.0
5329,79.0
5330,80.0
5331,81.0
5332,82.0
5333,83.0
5334,84.0
5335,85.0
5336,86.0
5337,87.0
5338,88.0
5339,89.0
5340,90.0
5341,91.0
5342,92.0
5343,93.0
5344,94.0
5345,95.0
5346,96.0
5347,97.0
5348,98.0
5349,1.0
5350,2.0
5351,3.0
5352,4.0
5353,5.0
5354,6.0
5355,7.0
5356,8.0
5357,9.0
5358,10.0
5359,11.0
5360,12.0
5361,13.0
5362,14.0
5363,15.0
5364,16.0
5365,17.0
5366,18.0
5367,19.0
5368,20.0
5369,21.0
5370,22.0
5371,23.0
5372,24.0
5373,25.0
5374,26.0
5375,27.0
5376,28.0
5377,29.0
5378,30.0
5379,31.0
5380,32.0
5381,33.0
5382,34.0
5383,35.0
5384,36.0
5385,37.0
5386,38.0
5387,39.0
5388,40.0
5389,41.0
5390,42.0
5391,43.0
5392,44.0
5393,45.0
5394,46.0
5395,47.0
5396,48.0
5397,49.0
5398,50.0
5399,51.0
5400,52.0
5401,53.0
5402,54.0
5403,55.0
5404,56.0
5405,57.0
5406,58.0
5407,59.0
5408,60.0
5409,61.0
5410,62.0
5411,63.0
5412,64.0
5413,65.0
5414,66.0
5415,67.0
5416,68.0
5417,69.0
5418,70.0
5419,71.0
5420,72.0
5421,73.0
5422,74.0
5423,75.0
5424,76.0
5425,77.0
5426,78.0
5427,79.0
5428,80.0
5429,81.0
5430,82.0
5431,83.0
5432,84.0
5433,85.0
5434,86.0
5435,87.0
5436,88.0
5437,89.0
5438,90.0
5439,91.0
5440,1.0
5441,2.0
5442,3.0
5443,4.0
5444,5.0
5445,6.0
5446,7.0
5447,8.0
5448,9.0
5449,10.0
5450,11.0
5451,12.0
5452,13.0
5453,14.0
5454,15.0
5455,16.0
5456,17.0
5457,18.0
5458,19.0
5459,20.0
5460,21.0
5461,22.0
5462,23.0
5463,24.0
5464,25.0
5465,26.0
5466,27.0
5467,28.0
5468,29.0
5469,30.0
5470,31.0
5471,32.0
5472,33.0
5473,34.0
5474,35.0
5475,36.0
5476,37.0
5477,38.0
5478,39.0
5479,40.0
5480,41.0
5481,42.0
5482,43.0
5483,44.0
5484,45.0
5485,46.0
5486,47.0
5487,48.0
5488,49.0
5489,50.0
5490,51.0
5491,52.0
5492,53.0
5493,54.0
5494,55.0
5495,56.0
5496,57.0
5497,58.0
5498,59.0
5499,60.0
5500,61.0
5501,62.0
5502,63.0
5503,64.0
5504,65.0
5505,66.0
5506,67.0
5507,68.0
5508,69.0
5509,70.0
5510,71.0
5511,72.0
5512,73.0
5513,74.0
5514,75.0
5515,76.0
5516,77.0
5517,78.0
5518,79.0
5519,80.0
5520,81.0
5521,82.0
5522,83.0
5523,84.0
5524,85.0
5525,86.0
5526,87.0
5527,88.0
5528,89.0
5529,90.0
5530,91.0
5531,92.0
5532,93.0
5533,94.0
5534,95.0
5535,96.0
5536,97.0
5537,98.0
5538,99.0
5539,100.0
5540,101.0
5541,102.0
5542,103.0
5543,104.0
5544,105.0
5545,106.0
5546,107.0
5547,108.0
5548,109.0
5549,1.0
5550,2.0
5551,3.0
5552,4.0
5553,5.0
5554,6.0
5555,7.0
5556,8.0
5557,9.0
5558,10.0
5559,11.0
5560,12.0
5561,13.0
5562,14.0
5563,15.0
5564,16.0
5565,17.0
5566,18.0
5567,19.0
5568,20.0
5569,21.0
5570,22.0
5571,23.0
5572,24.0
5573,25.0
5574,26.0
5575,27.0
5576,28.0
5577,29.0
5578,30.0
5579,31.0
5580,32.0
5581,33.0
5582,34.0
5583,35.0
5584,36.0
5585,37.0
5586,38.0
5587,39.0
5588,40.0
5589,41.0
5590,42.0
5591,43.0
5592,44.0
5593,45.0
5594,46.0
5595,47.0
5596,48.0
5597,49.0
5598,50.0
5599,51.0
5600,52.0
5601,53.0
5602,54.0
5603,55.0
5604,56.0
5605,57.0
5606,58.0
5607,59.0
5608,60.0
5609,61.0
5610,62.0
5611,63.0
5612,64.0
5613,65.0
5614,66.0
5615,67.0
5616,68.0
5617,69.0
5618,70.0
5619,71.0
5620,72.0
5621,73.0
5622,74.0
5623,75.0
5624,76.0
5625,77.0
5626,78.0
5627,79.0
5628,80.0
5629,81.0
5630,82.0
5631,83.0
5632,84.0
5633,85.0
5634,86.0
5635,87.0
5636,88.0
5637,89.0
5638,90.0
5639,91.0
5640,92.0
5641,93.0
5642,94.0
5643,95.0
5644,96.0
5645,97.0
5646,98.0
5647,99.0
5648,1.0
5649,2.0
5650,3.0
5651,4.0
5652,5.0
5653,6.0
5654,7.0
5655,8.0
5656,9.0
5657,10.0
5658,11.0
5659,12.0
5660,13.0
5661,14.0
5662,15.0
5663,16.0
5664,17.0
5665,18.0
5666,19.0
5667,20.0
5668,21.0
5669,22.0
5670,23.0
5671,24.0
5672,25.0
5673,26.0
5674,27.0
5675,28.0
5676,29.0
5677,30.0
5678,31.0
5679,32.0
5680,33.0
5681,34.0
5682,35.0
5683,36.0
5684,37.0
5685,38.0
5686,39.0
5687,40.0
5688,41.0
5689,42.0
5690,43.0
5691,44.0
5692,45.0
5693,46.0
5694,47.0
5695,48.0
5696,49.0
5697,50.0
5698,51.0
5699,52.0
5700,53.0
5701,54.0
5702,55.0
5703,56.0
5704,57.0
5705,58.0
5706,59.0
5707,60.0
5708,61.0
5709,62.0
5710,63.0
5711,64.0
5712,65.0
5713,66.0
5714,67.0
5715,68.0
5716,69.0
5717,70.0
5718,71.0
5719,72.0
5720,73.0
5721,74.0
5722,75.0
5723,76.0
5724,77.0
5725,78.0
5726,79.0
5727,80.0
5728,81.0
5729,82.0
5730,83.0
5731,84.0
5732,1.0
5733,2.0
5734,3.0
5735,4.0
5736,5.0
5737,6.0
5738,7.0
5739,8.0
5740,9.0
5741,10.0
5742,11.0
5743,12.0
5744,13.0
5745,14.0
5746,15.0
5747,16.0
5748,17.0
5749,18.0
5750,19.0
5751,20.0
5752,21.0
5753,22.0
5754,23.0
5755,24.0
5756,25.0
5757,26.0
5758,27.0
5759,28.0
5760,29.0
5761,30.0
5762,31.0
5763,32.0
5764,33.0
5765,34.0
5766,35.0
5767,36.0
5768,37.0
5769,38.0
5770,39.0
5771,40.0
5772,41.0
5773,42.0
5774,43.0
5775,44.0
5776,45.0
5777,46.0
5778,47.0
5779,48.0
5780,49.0
5781,50.0
5782,51.0
5783,52.0
5784,53.0
5785,54.0
5786,55.0
5787,56.0
5788,57.0
5789,58.0
5790,59.0
5791,60.0
5792,61.0
5793,62.0
5794,63.0
5795,64.0
5796,65.0
5797,66.0
5798,67.0
5799,68.0
5800,69.0
5801,70.0
5802,71.0
5803,72.0
5804,73.0
5805,74.0
5806,75.0
5807,76.0
5808,77.0
5809,78.0
5810,79.0
5811,80.0
5812,81.0
5813,82.0
5814,1.0
5815,2.0
5816,3.0
5817,4.0
5818,5.0
5819,6.0
5820,7.0
5821,8.0
5822,9.0
5823,10.0
5824,11.0
5825,12.0
5826,13.0
5827,14.0
5828,15.0
5829,16.0
5830,17.0
5831,18.0
5832,19.0
5833,20.0
5834,21.0
5835,22.0
5836,23.0
5837,24.0
5838,25.0
5839,26.0
5840,27.0
5841,28.0
5842,29.0
5843,30.0
5844,31.0
5845,32.0
5846,33.0
5847,34.0
5848,35.0
5849,36.0
5850,37.0
5851,38.0
5852,39.0
5853,40.0
5854,41.0
5855,42.0
5856,43.0
5857,44.0
5858,45.0
5859,46.0
5860,47.0
5861,48.0
5862,49.0
5863,50.0
5864,51.0
5865,52.0
5866,53.0
5867,54.0
5868,55.0
5869,56.0
5870,57.0
5871,58.0
5872,59.0
5873,60.0
5874,61.0
5875,62.0
5876,63.0
5877,64.0
5878,65.0
5879,66.0
5880,67.0
5881,68.0
5882,69.0
5883,70.0
5884,71.0
5885,72.0
5886,73.0
5887,74.0
5888,75.0
5889,76.0
5890,77.0
5891,78.0
5892,79.0
5893,80.0
5894,81.0
5895,82.0
5896,83.0
5897,84.0
5898,85.0
5899,86.0
5900,1.0
5901,2.0
5902,3.0
5903,4.0
5904,5.0
5905,6.0
5906,7.0
5907,8.0
5908,9.0
5909,10.0
5910,11.0
5911,12.0
5912,13.0
5913,14.0
5914,15.0
5915,16.0
5916,17.0
5917,18.0
5918,19.0
5919,20.0
5920,21.0
5921,22.0
5922,23.0
5923,24.0
5924,25.0
5925,26.0
5926,27.0
5927,28.0
5928,29.0
5929,30.0
5930,31.0
5931,32.0
5932,33.0
5933,34.0
5934,35.0
5935,36.0
5936,37.0
5937,38.0
5938,39.0
5939,40.0
5940,41.0
5941,42.0
5942,43.0
5943,44.0
5944,45.0
5945,46.0
5946,47.0
5947,48.0
5948,49.0
5949,50.0
5950,51.0
5951,52.0
5952,53.0
5953,54.0
5954,55.0
5955,56.0
5956,57.0
5957,58.0
5958,59.0
5959,60.0
5960,61.0
5961,62.0
5962,63.0
5963,64.0
5964,1.0
5965,2.0
5966,3.0
5967,4.0
5968,5.0
5969,6.0
5970,7.0
5971,8.0
5972,9.0
5973,10.0
5974,11.0
5975,12.0
5976,13.0
5977,14.0
5978,15.0
5979,16.0
5980,17.0
5981,18.0
5982,19.0
5983,20.0
5984,21.0
5985,22.0
5986,23.0
5987,24.0
5988,25.0
5989,26.0
5990,27.0
5991,28.0
5992,29.0
5993,30.0
5994,31.0
5995,32.0
5996,33.0
5997,34.0
5998,35.0
5999,36.0
6000,37.0
6001,38.0
6002,39.0
6003,40.0
6004,41.0
6005,42.0
6006,43.0
6007,44.0
6008,45.0
6009,46.0
6010,47.0
6011,48.0
6012,49.0
6013,50.0
6014,51.0
6015,52.0
6016,53.0
6017,54.0
6018,55.0
6019,56.0
6020,57.0
6021,58.0
6022,59.0
6023,60.0
6024,61.0
6025,62.0
6026,63.0
6027,64.0
6028,65.0
6029,66.0
6030,67.0
6031,68.0
6032,69.0
6033,70.0
6034,71.0
6035,72.0
6036,73.0
6037,74.0
6038,75.0
6039,76.0
6040,77.0
6041,78.0
6042,79.0
6043,80.0
6044,81.0
6045,82.0
6046,83.0
6047,84.0
6048,85.0
6049,86.0
6050,87.0
6051,88.0
6052,89.0
6053,90.0
6054,91.0
6055,92.0
6056,93.0
6057,94.0
6058,95.0
6059,96.0
6060,97.0
6061,98.0
6062,99.0
6063,100.0
6064,101.0
6065,102.0
6066,103.0
6067,104.0
6068,105.0
6069,106.0
6070,107.0
6071,108.0
6072,109.0
6073,1.0
6074,2.0
6075,3.0
6076,4.0
6077,5.0
6078,6.0
6079,7.0
6080,8.0
6081,9.0
6082,10.0
6083,11.0
6084,12.0
6085,13.0
6086,14.0
6087,15.0
6088,16.0
6089,17.0
6090,18.0
6091,19.0
6092,20.0
6093,21.0
6094,22.0
6095,23.0
6096,24.0
6097,25.0
6098,26.0
6099,27.0
6100,28.0
6101,29.0
6102,30.0
6103,31.0
6104,32.0
6105,33.0
6106,34.0
6107,35.0
6108,36.0
6109,37.0
6110,38.0
6111,39.0
6112,40.0
6113,41.0
6114,42.0
6115,43.0
6116,44.0
6117,45.0
6118,46.0
6119,47.0
6120,48.0
6121,49.0
6122,50.0
6123,51.0
6124,52.0
6125,53.0
6126,54.0
6127,55.0
6128,56.0
6129,57.0
6130,58.0
6131,59.0
6132,60.0
6133,61.0
6134,62.0
6135,63.0
6136,64.0
6137,65.0
6138,66.0
6139,67.0
6140,68.0
6141,69.0
6142,70.0
6143,71.0
6144,72.0
6145,73.0
6146,74.0
6147,75.0
6148,76.0
6149,77.0
6150,78.0
6151,79.0
6152,80.0
6153,81.0
6154,82.0
6155,83.0
6156,84.0
6157,85.0
6158,86.0
6159,87.0
6160,88.0
6161,89.0
6162,90.0
6163,91.0
6164,92.0
6165,93.0
6166,94.0
6167,95.0
6168,96.0
6169,97.0
6170,98.0
6171,99.0
6172,1.0
6173,2.0
6174,3.0
6175,4.0
6176,5.0
6177,6.0
6178,7.0
6179,8.0
6180,9.0
6181,10.0
6182,11.0
6183,12.0
6184,13.0
6185,14.0
6186,15.0
6187,16.0
6188,17.0
6189,18.0
6190,19.0
6191,20.0
6192,21.0
6193,22.0
6194,23.0
6195,24.0
6196,25.0
6197,26.0
6198,27.0
6199,28.0
6200,29.0
6201,30.0
6202,31.0
6203,32.0
6204,33.0
6205,34.0
6206,35.0
6207,36.0
6208,37.0
6209,38.0
6210,39.0
6211,40.0
6212,41.0
6213,42.0
6214,43.0
6215,44.0
6216,45.0
6217,46.0
6218,47.0
6219,48.0
6220,49.0
6221,50.0
6222,51.0
6223,52.0
6224,53.0
6225,54.0
6226,55.0
6227,56.0
6228,57.0
6229,58.0
6230,59.0
6231,60.0
6232,61.0
6233,62.0
6234,63.0
6235,64.0
6236,65.0
6237,66.0
6238,67.0
6239,68.0
6240,69.0
6241,70.0
6242,71.0
6243,72.0
6244,73.0
6245,74.0
6246,75.0
6247,76.0
6248,77.0
6249,78.0
6250,79.0
6251,80.0
6252,81.0
6253,82.0
6254,83.0
6255,84.0
6256,85.0
6257,86.0
6258,87.0
6259,88.0
6260,89.0
6261,90.0
6262,91.0
6263,92.0
6264,93.0
6265,94.0
6266,95.0
6267,96.0
6268,97.0
6269,98.0
6270,99.0
6271,100.0
6272,101.0
6273,102.0
6274,103.0
6275,104.0
6276,105.0
6277,106.0
6278,107.0
6279,108.0
6280,109.0
6281,110.0
6282,111.0
6283,112.0
6284,1.0
6285,2.0
6286,3.0
6287,4.0
6288,5.0
6289,6.0
6290,7.0
6291,8.0
6292,9.0
6293,10.0
6294,11.0
6295,12.0
6296,13.0
6297,14.0
6298,15.0
6299,16.0
6300,17.0
6301,18.0
6302,19.0
6303,20.0
6304,21.0
6305,22.0
6306,23.0
6307,24.0
6308,25.0
6309,26.0
6310,27.0
6311,28.0
6312,29.0
6313,30.0
6314,31.0
6315,32.0
6316,33.0
6317,34.0
6318,35.0
6319,36.0
6320,37.0
6321,38.0
6322,39.0
6323,40.0
6324,41.0
6325,42.0
6326,43.0
6327,44.0
6328,45.0
6329,46.0
6330,47.0
6331,48.0
6332,49.0
6333,50.0
6334,51.0
6335,52.0
6336,53.0
6337,54.0
6338,55.0
6339,56.0
6340,57.0
6341,58.0
6342,59.0
6343,60.0
6344,61.0
6345,62.0
6346,63.0
6347,64.0
6348,65.0
6349,66.0
6350,67.0
6351,68.0
6352,69.0
6353,70.0
6354,71.0
6355,72.0
6356,73.0
6357,74.0
6358,75.0
6359,76.0
6360,77.0
6361,78.0
6362,79.0
6363,80.0
6364,81.0
6365,82.0
6366,83.0
6367,84.0
6368,85.0
6369,86.0
6370,87.0
6371,88.0
6372,89.0
6373,90.0
6374,91.0
6375,92.0
6376,93.0
6377,94.0
6378,95.0
6379,96.0
6380,97.0
6381,98.0
6382,99.0
6383,100.0
6384,101.0
6385,102.0
6386,103.0
6387,1.0
6388,2.0
6389,3.0
6390,4.0
6391,5.0
6392,6.0
6393,7.0
6394,8.0
6395,9.0
6396,10.0
6397,11.0
6398,12.0
6399,13.0
6400,14.0
6401,15.0
6402,16.0
6403,17.0
6404,18.0
6405,19.0
6406,20.0
6407,21.0
6408,22.0
6409,23.0
6410,24.0
6411,25.0
6412,26.0
6413,27.0
6414,28.0
6415,29.0
6416,30.0
6417,31.0
6418,32.0
6419,33.0
6420,34.0
6421,35.0
6422,36.0
6423,37.0
6424,38.0
6425,39.0
6426,40.0
6427,41.0
6428,42.0
6429,43.0
6430,44.0
6431,45.0
6432,46.0
6433,47.0
6434,48.0
6435,49.0
6436,50.0
6437,51.0
6438,52.0
6439,53.0
6440,54.0
6441,55.0
6442,56.0
6443,57.0
6444,58.0
6445,59.0
6446,60.0
6447,61.0
6448,62.0
6449,63.0
6450,64.0
6451,65.0
6452,66.0
6453,67.0
6454,68.0
6455,69.0
6456,70.0
6457,71.0
6458,72.0
6459,73.0
6460,74.0
6461,75.0
6462,76.0
6463,77.0
6464,78.0
6465,79.0
6466,80.0
6467,81.0
6468,82.0
6469,83.0
6470,84.0
6471,85.0
6472,86.0
6473,87.0
6474,88.0
6475,89.0
6476,90.0
6477,91.0
6478,92.0
6479,93.0
6480,94.0
6481,95.0
6482,96.0
6483,97.0
6484,98.0
6485,99.0
6486,100.0
6487,101.0
6488,102.0
6489,103.0
6490,104.0
6491,105.0
6492,106.0
6493,107.0
6494,108.0
6495,109.0
6496,1.0
6497,2.0
6498,3.0
6499,4.0
6500,5.0
6501,6.0
6502,7.0
6503,8.0
6504,9.0
6505,10.0
6506,11.0
6507,12.0
6508,13.0
6509,14.0
6510,15.0
6511,16.0
6512,17.0
6513,18.0
6514,19.0
6515,20.0
6516,21.0
6517,22.0
6518,23.0
6519,24.0
6520,25.0
6521,26.0
6522,27.0
6523,28.0
6524,29.0
6525,30.0
6526,31.0
6527,32.0
6528,33.0
6529,34.0
6530,35.0
6531,36.0
6532,37.0
6533,38.0
6534,39.0
6535,40.0
6536,41.0
6537,42.0
6538,43.0
6539,44.0
6540,45.0
6541,46.0
6542,47.0
6543,48.0
6544,49.0
6545,50.0
6546,51.0
6547,52.0
6548,53.0
6549,54.0
6550,55.0
6551,56.0
6552,57.0
6553,58.0
6554,59.0
6555,60.0
6556,61.0
6557,62.0
6558,63.0
6559,64.0
6560,65.0
6561,66.0
6562,67.0
6563,68.0
6564,69.0
6565,70.0
6566,71.0
6567,72.0
6568,73.0
6569,74.0
6570,75.0
6571,76.0
6572,77.0
6573,78.0
6574,79.0
6575,80.0
6576,81.0
6577,82.0
6578,83.0
6579,84.0
6580,85.0
6581,86.0
6582,87.0
6583,88.0
6584,89.0
6585,90.0
6586,91.0
6587,92.0
6588,93.0
6589,94.0
6590,1.0
6591,2.0
6592,3.0
6593,4.0
6594,5.0
6595,6.0
6596,7.0
6597,8.0
6598,9.0
6599,10.0
6600,11.0
6601,12.0
6602,13.0
6603,14.0
6604,15.0
6605,16.0
6606,17.0
6607,18.0
6608,19.0
6609,20.0
6610,21.0
6611,22.0
6612,23.0
6613,24.0
6614,25.0
6615,26.0
6616,27.0
6617,28.0
6618,29.0
6619,30.0
6620,31.0
6621,32.0
6622,33.0
6623,34.0
6624,35.0
6625,36.0
6626,37.0
6627,38.0
6628,39.0
6629,40.0
6630,41.0
6631,42.0
6632,43.0
6633,44.0
6634,45.0
6635,46.0
6636,47.0
6637,48.0
6638,49.0
6639,50.0
6640,51.0
6641,52.0
6642,53.0
6643,54.0
6644,55.0
6645,56.0
6646,57.0
6647,58.0
6648,59.0
6649,60.0
6650,61.0
6651,62.0
6652,63.0
6653,64.0
6654,65.0
6655,66.0
6656,67.0
6657,68.0
6658,69.0
6659,70.0
6660,71.0
6661,72.0
6662,73.0
6663,74.0
6664,75.0
6665,76.0
6666,77.0
6667,78.0
6668,79.0
6669,80.0
6670,81.0
6671,82.0
6672,83.0
6673,84.0
6674,85.0
6675,86.0
6676,87.0
6677,88.0
6678,89.0
6679,90.0
6680,91.0
6681,92.0
6682,93.0
6683,94.0
6684,95.0
6685,96.0
6686,97.0
6687,98.0
6688,99.0
6689,100.0
6690,101.0
6691,102.0
6692,103.0
6693,104.0
6694,105.0
6695,106.0
6696,107.0
6697,108.0
6698,109.0
6699,110.0
6700,111.0
6701,112.0
6702,1.0
6703,2.0
6704,3.0
6705,4.0
6706,5.0
6707,6.0
6708,7.0
6709,8.0
6710,9.0
6711,10.0
6712,11.0
6713,12.0
6714,13.0
6715,14.0
6716,15.0
6717,16.0
6718,17.0
6719,18.0
6720,19.0
6721,20.0
6722,21.0
6723,22.0
6724,23.0
6725,24.0
6726,25.0
6727,26.0
6728,27.0
6729,28.0
6730,29.0
6731,30.0
6732,31.0
6733,32.0
6734,33.0
6735,34.0
6736,35.0
6737,36.0
6738,37.0
6739,38.0
6740,39.0
6741,40.0
6742,41.0
6743,42.0
6744,43.0
6745,44.0
6746,45.0
6747,46.0
6748,47.0
6749,48.0
6750,49.0
6751,50.0
6752,51.0
6753,52.0
6754,53.0
6755,54.0
6756,55.0
6757,56.0
6758,57.0
6759,58.0
6760,59.0
6761,60.0
6762,61.0
6763,62.0
6764,63.0
6765,64.0
6766,65.0
6767,66.0
6768,67.0
6769,68.0
6770,69.0
6771,70.0
6772,71.0
6773,72.0
6774,73.0
6775,74.0
6776,75.0
6777,76.0
6778,77.0
6779,78.0
6780,79.0
6781,80.0
6782,81.0
6783,82.0
6784,83.0
6785,84.0
6786,85.0
6787,86.0
6788,87.0
6789,88.0
6790,89.0
6791,90.0
6792,91.0
6793,92.0
6794,93.0
6795,94.0
6796,95.0
6797,96.0
6798,97.0
6799,98.0
6800,99.0
6801,100.0
6802,101.0
6803,102.0
6804,103.0
6805,104.0
6806,105.0
6807,106.0
6808,107.0
6809,108.0
6810,109.0
6811,110.0
6812,111.0
6813,112.0
6814,113.0
6815,114.0
6816,115.0
6817,1.0
6818,2.0
6819,3.0
6820,4.0
6821,5.0
6822,6.0
6823,7.0
6824,8.0
6825,9.0
6826,10.0
6827,11.0
6828,12.0
6829,13.0
6830,14.0
6831,15.0
6832,16.0
6833,17.0
6834,18.0
6835,19.0
6836,20.0
6837,21.0
6838,22.0
6839,23.0
6840,24.0
6841,25.0
6842,26.0
6843,27.0
6844,28.0
6845,29.0
6846,30.0
6847,31.0
6848,32.0
6849,33.0
6850,34.0
6851,35.0
6852,36.0
6853,37.0
6854,38.0
6855,39.0
6856,40.0
6857,41.0
6858,42.0
6859,43.0
6860,44.0
6861,45.0
6862,46.0
6863,47.0
6864,48.0
6865,49.0
6866,50.0
6867,51.0
6868,52.0
6869,53.0
6870,54.0
6871,55.0
6872,56.0
6873,57.0
6874,58.0
6875,59.0
6876,60.0
6877,61.0
6878,62.0
6879,63.0
6880,64.0
6881,65.0
6882,66.0
6883,67.0
6884,68.0
6885,69.0
6886,70.0
6887,71.0
6888,72.0
6889,73.0
6890,74.0
6891,75.0
6892,76.0
6893,77.0
6894,78.0
6895,79.0
6896,80.0
6897,81.0
6898,82.0
6899,83.0
6900,84.0
6901,85.0
6902,86.0
6903,87.0
6904,88.0
6905,89.0
6906,90.0
6907,91.0
6908,92.0
6909,93.0
6910,1.0
6911,2.0
6912,3.0
6913,4.0
6914,5.0
6915,6.0
6916,7.0
6917,8.0
6918,9.0
6919,10.0
6920,11.0
6921,12.0
6922,13.0
6923,14.0
6924,15.0
6925,16.0
6926,17.0
6927,18.0
6928,19.0
6929,20.0
6930,21.0
6931,22.0
6932,23.0
6933,24.0
6934,25.0
6935,26.0
6936,27.0
6937,28.0
6938,29.0
6939,30.0
6940,31.0
6941,32.0
6942,33.0
6943,34.0
6944,35.0
6945,36.0
6946,37.0
6947,38.0
6948,39.0
6949,40.0
6950,41.0
6951,42.0
6952,43.0
6953,44.0
6954,45.0
6955,46.0
6956,47.0
6957,48.0
6958,49.0
6959,50.0
6960,51.0
6961,52.0
6962,53.0
6963,54.0
6964,55.0
6965,56.0
6966,57.0
6967,58.0
6968,59.0
6969,60.0
6970,61.0
6971,62.0
6972,63.0
6973,64.0
6974,65.0
6975,66.0
6976,67.0
6977,68.0
6978,69.0
6979,70.0
6980,71.0
6981,72.0
6982,73.0
6983,74.0
6984,75.0
6985,76.0
6986,77.0
6987,78.0
6988,79.0
6989,80.0
6990,81.0
6991,82.0
6992,83.0
6993,84.0
6994,85.0
6995,86.0
6996,87.0
6997,88.0
6998,89.0
6999,90.0
7000,91.0
7001,92.0
7002,93.0
7003,94.0
7004,95.0
7005,96.0
7006,1.0
7007,2.0
7008,3.0
7009,4.0
7010,5.0
7011,6.0
7012,7.0
7013,8.0
7014,9.0
7015,10.0
7016,11.0
7017,12.0
7018,13.0
7019,14.0
7020,15.0
7021,16.0
7022,17.0
7023,18.0
7024,19.0
7025,20.0
7026,21.0
7027,22.0
7028,23.0
7029,24.0
7030,25.0
7031,26.0
7032,27.0
7033,28.0
7034,29.0
7035,30.0
7036,31.0
7037,32.0
7038,33.0
7039,34.0
7040,35.0
7041,36.0
7042,37.0
7043,38.0
7044,39.0
7045,40.0
7046,41.0
7047,42.0
7048,43.0
7049,44.0
7050,45.0
7051,46.0
7052,47.0
7053,48.0
7054,49.0
7055,50.0
7056,51.0
7057,52.0
7058,53.0
7059,54.0
7060,55.0
7061,56.0
7062,57.0
7063,58.0
7064,59.0
7065,60.0
7066,61.0
7067,62.0
7068,63.0
7069,64.0
7070,65.0
7071,66.0
7072,67.0
7073,68.0
7074,69.0
7075,70.0
7076,71.0
7077,72.0
7078,73.0
7079,74.0
7080,75.0
7081,76.0
7082,77.0
7083,78.0
7084,79.0
7085,80.0
7086,81.0
7087,82.0
7088,83.0
7089,84.0
7090,85.0
7091,86.0
7092,87.0
7093,88.0
7094,89.0
7095,90.0
7096,91.0
7097,92.0
7098,93.0
7099,94.0
7100,95.0
7101,96.0
7102,97.0
7103,98.0
7104,99.0
7105,100.0
7106,101.0
7107,102.0
7108,103.0
7109,104.0
7110,105.0
7111,106.0
7112,107.0
7113,108.0
7114,109.0
7115,110.0
7116,111.0
7117,112.0
7118,113.0
7119,114.0
7120,115.0
7121,116.0
7122,117.0
7123,118.0
7124,119.0
7125,120.0
7126,121.0
7127,122.0
7128,123.0
7129,1.0
7130,2.0
7131,3.0
7132,4.0
7133,5.0
7134,6.0
7135,7.0
7136,8.0
7137,9.0
7138,10.0
7139,11.0
7140,12.0
7141,13.0
7142,14.0
7143,15.0
7144,16.0
7145,17.0
7146,18.0
7147,19.0
7148,20.0
7149,21.0
7150,22.0
7151,23.0
7152,24.0
7153,25.0
7154,26.0
7155,27.0
7156,28.0
7157,29.0
7158,30.0
7159,31.0
7160,32.0
7161,33.0
7162,34.0
7163,35.0
7164,36.0
7165,37.0
7166,38.0
7167,39.0
7168,40.0
7169,41.0
7170,42.0
7171,43.0
7172,44.0
7173,45.0
7174,46.0
7175,47.0
7176,48.0
7177,49.0
7178,50.0
7179,51.0
7180,52.0
7181,53.0
7182,54.0
7183,55.0
7184,56.0
7185,57.0
7186,58.0
7187,59.0
7188,60.0
7189,61.0
7190,62.0
7191,63.0
7192,64.0
7193,65.0
7194,66.0
7195,67.0
7196,68.0
7197,69.0
7198,70.0
7199,71.0
7200,72.0
7201,73.0
7202,74.0
7203,75.0
7204,76.0
7205,77.0
7206,78.0
7207,79.0
7208,80.0
7209,81.0
7210,82.0
7211,83.0
